removed 256 of 256 bricks at b=40447; deleted bricks: 7681
removed 256 of 256 bricks at b=40703; deleted bricks: 7937
removed 256 of 256 bricks at b=40959; deleted bricks: 8193
removed 256 of 256 bricks at b=41215; deleted bricks: 8449
removed 256 of 256 bricks at b=41471; deleted bricks: 8705
removed 256 of 256 bricks at b=41727; deleted bricks: 8961
removed 256 of 256 bricks at b=41983; deleted bricks: 9217
removed 256 of 256 bricks at b=42239; deleted bricks: 9473
removed 256 of 256 bricks at b=42495; deleted bricks: 9729
removed 256 of 256 bricks at b=42751; deleted bricks: 9985
removed 256 of 256 bricks at b=43007; deleted bricks: 10241
removed 256 of 256 bricks at b=43263; deleted bricks: 10497
removed 256 of 256 bricks at b=43519; deleted bricks: 10753
removed 256 of 256 bricks at b=43775; deleted bricks: 11009
removed 256 of 256 bricks at b=44031; deleted bricks: 11265
removed 256 of 256 bricks at b=44287; deleted bricks: 11521
removed 256 of 256 bricks at b=44543; deleted bricks: 11777
removed 256 of 256 bricks at b=44799; deleted bricks: 12033
removed 256 of 256 bricks at b=45055; deleted bricks: 12289
removed 256 of 256 bricks at b=45311; deleted bricks: 12545
removed 256 of 256 bricks at b=45567; deleted bricks: 12801
removed 256 of 256 bricks at b=45823; deleted bricks: 13057
removed 256 of 256 bricks at b=46079; deleted bricks: 13313
removed 256 of 256 bricks at b=46335; deleted bricks: 13569
removed 256 of 256 bricks at b=46591; deleted bricks: 13825
removed 256 of 256 bricks at b=46847; deleted bricks: 14081
removed 256 of 256 bricks at b=47103; deleted bricks: 14337
removed 256 of 256 bricks at b=47359; deleted bricks: 14593
removed 256 of 256 bricks at b=47615; deleted bricks: 14849
removed 256 of 256 bricks at b=47871; deleted bricks: 15105
removed 256 of 256 bricks at b=48127; deleted bricks: 15361
removed 256 of 256 bricks at b=48383; deleted bricks: 15617
removed 256 of 256 bricks at b=48639; deleted bricks: 15873
removed 256 of 256 bricks at b=48895; deleted bricks: 16129
removed 256 of 256 bricks at b=49151; deleted bricks: 16385
removed 256 of 256 bricks at b=49407; deleted bricks: 16641
removed 256 of 256 bricks at b=49663; deleted bricks: 16897
removed 256 of 256 bricks at b=49919; deleted bricks: 17153
removed 256 of 256 bricks at b=50175; deleted bricks: 17409
removed 256 of 256 bricks at b=50431; deleted bricks: 17665
removed 256 of 256 bricks at b=50687; deleted bricks: 17921
removed 256 of 256 bricks at b=50943; deleted bricks: 18177
removed 256 of 256 bricks at b=51199; deleted bricks: 18433
removed 256 of 256 bricks at b=51455; deleted bricks: 18689
removed 256 of 256 bricks at b=51711; deleted bricks: 18945
removed 256 of 256 bricks at b=51967; deleted bricks: 19201
removed 256 of 256 bricks at b=52223; deleted bricks: 19457
removed 256 of 256 bricks at b=52479; deleted bricks: 19713
removed 256 of 256 bricks at b=52735; deleted bricks: 19969
removed 256 of 256 bricks at b=52991; deleted bricks: 20225
removed 256 of 256 bricks at b=53247; deleted bricks: 20481
removed 256 of 256 bricks at b=53503; deleted bricks: 20737
removed 256 of 256 bricks at b=53759; deleted bricks: 20993
removed 256 of 256 bricks at b=54015; deleted bricks: 21249
removed 256 of 256 bricks at b=54271; deleted bricks: 21505
removed 256 of 256 bricks at b=54527; deleted bricks: 21761
removed 256 of 256 bricks at b=54783; deleted bricks: 22017
removed 256 of 256 bricks at b=55039; deleted bricks: 22273
removed 256 of 256 bricks at b=55295; deleted bricks: 22529
removed 256 of 256 bricks at b=55551; deleted bricks: 22785
removed 256 of 256 bricks at b=55807; deleted bricks: 23041
removed 256 of 256 bricks at b=56063; deleted bricks: 23297
removed 256 of 256 bricks at b=56319; deleted bricks: 23553
removed 256 of 256 bricks at b=56575; deleted bricks: 23809
removed 256 of 256 bricks at b=56831; deleted bricks: 24065
removed 256 of 256 bricks at b=57087; deleted bricks: 24321
